"","zip_code","counts"
"1",7030,1
"2",7306,3
"3",10001,13
"4",10002,11
"5",10003,4
"6",10004,18
"7",10005,4
"8",10006,5
"9",10007,4
"10",10009,3
"11",10010,9
"12",10011,42
"13",10012,4
"14",10014,8
"15",10016,5
"16",10017,5
"17",10018,9
"18",10019,12
"19",10020,1
"20",10022,9
"21",10023,14
"22",10024,6
"23",10025,8
"24",10026,26
"25",10027,30
"26",10028,1
"27",10029,14
"28",10030,5
"29",10031,5
"30",10032,5
"31",10033,10
"32",10034,2
"33",10035,9
"34",10036,5
"35",10037,18
"36",10038,23
"37",10039,13
"38",10040,3
"39",10044,1
"40",10065,5
"41",10075,3
"42",10128,2
"43",10278,1
"44",10282,1
"45",10301,23
"46",10302,1
"47",10304,5
"48",10305,17
"49",10306,2
"50",10307,1
"51",10308,1
"52",10310,4
"53",10312,6
"54",10314,6
"55",10451,16
"56",10452,11
"57",10453,3
"58",10454,5
"59",10455,11
"60",10456,9
"61",10457,20
"62",10458,10
"63",10459,4
"64",10460,15
"65",10461,5
"66",10462,6
"67",10463,4
"68",10464,1
"69",10465,22
"70",10466,6
"71",10467,16
"72",10468,6
"73",10469,6
"74",10470,1
"75",10471,3
"76",10472,1
"77",10473,2
"78",10474,1
"79",10475,1
"80",11004,1
"81",11101,12
"82",11102,2
"83",11103,3
"84",11104,1
"85",11105,1
"86",11106,1
"87",11120,1
"88",11201,99
"89",11203,7
"90",11204,7
"91",11205,2
"92",11206,1
"93",11207,5
"94",11208,1
"95",11209,2
"96",11210,1
"97",11211,4
"98",11212,12
"99",11213,12
"100",11214,9
"101",11215,5
"102",11216,4
"103",11217,9
"104",11218,2
"105",11219,2
"106",11220,4
"107",11221,3
"108",11222,7
"109",11223,4
"110",11224,32
"111",11225,11
"112",11226,7
"113",11228,7
"114",11229,3
"115",11230,1
"116",11231,18
"117",11233,4
"118",11234,10
"119",11235,16
"120",11236,3
"121",11237,5
"122",11238,3
"123",11354,6
"124",11355,14
"125",11356,1
"126",11357,1
"127",11358,6
"128",11360,1
"129",11361,1
"130",11362,2
"131",11364,1
"132",11365,6
"133",11366,7
"134",11367,1
"135",11368,4
"136",11369,1
"137",11372,2
"138",11373,9
"139",11374,7
"140",11375,7
"141",11377,9
"142",11378,1
"143",11379,9
"144",11385,2
"145",11411,1
"146",11412,2
"147",11413,1
"148",11414,1
"149",11415,1
"150",11416,2
"151",11417,1
"152",11418,5
"153",11419,6
"154",11420,1
"155",11421,3
"156",11422,1
"157",11423,2
"158",11426,1
"159",11427,6
"160",11428,1
"161",11432,6
"162",11433,7
"163",11434,37
"164",11435,3
"165",11436,4
"166",11691,11
"167",11692,3
"168",11693,12
"169",11694,11
