"","zip","number"
"1",7005,1
"2",10001,420
"3",10002,470
"4",10003,668
"5",10004,134
"6",10005,62
"7",10006,42
"8",10007,128
"9",10009,311
"10",10010,257
"11",10011,465
"12",10012,405
"13",10013,476
"14",10014,442
"15",10015,1
"16",10016,431
"17",10017,306
"18",10018,325
"19",10019,633
"20",10020,44
"21",10021,155
"22",10022,438
"23",10023,191
"24",10024,201
"25",10025,231
"26",10026,76
"27",10027,171
"28",10028,202
"29",10029,203
"30",10030,45
"31",10031,108
"32",10032,114
"33",10033,115
"34",10034,104
"35",10035,82
"36",10036,580
"37",10037,35
"38",10038,191
"39",10039,34
"40",10040,76
"41",10044,8
"42",10048,1
"43",10055,1
"44",10057,1
"45",10065,179
"46",10069,4
"47",10075,98
"48",10103,2
"49",10104,5
"50",10105,4
"51",10106,2
"52",10107,1
"53",10110,1
"54",10111,5
"55",10112,20
"56",10118,7
"57",10119,21
"58",10121,57
"59",10123,2
"60",10128,158
"61",10153,3
"62",10154,1
"63",10155,1
"64",10165,1
"65",10166,1
"66",10167,3
"67",10168,5
"68",10169,24
"69",10170,3
"70",10171,3
"71",10172,1
"72",10173,2
"73",10174,3
"74",10175,1
"75",10176,2
"76",10178,1
"77",10179,1
"78",10199,1
"79",10271,1
"80",10279,1
"81",10280,9
"82",10281,30
"83",10282,16
"84",10285,2
"85",10301,102
"86",10302,65
"87",10303,37
"88",10304,53
"89",10305,91
"90",10306,110
"91",10307,30
"92",10308,53
"93",10309,79
"94",10310,57
"95",10311,1
"96",10312,73
"97",10314,166
"98",10317,1
"99",10451,155
"100",10452,97
"101",10453,88
"102",10454,67
"103",10455,95
"104",10456,93
"105",10457,89
"106",10458,190
"107",10459,72
"108",10460,63
"109",10461,146
"110",10462,150
"111",10463,127
"112",10464,37
"113",10465,82
"114",10466,92
"115",10467,147
"116",10468,98
"117",10469,89
"118",10470,45
"119",10471,53
"120",10472,102
"121",10473,28
"122",10474,38
"123",10475,57
"124",10605,1
"125",11001,3
"126",11004,31
"127",11005,2
"128",11040,19
"129",11101,256
"130",11102,85
"131",11103,219
"132",11104,107
"133",11105,137
"134",11106,162
"135",11109,8
"136",11201,340
"137",11203,134
"138",11204,122
"139",11205,146
"140",11206,154
"141",11207,128
"142",11208,106
"143",11209,263
"144",11210,82
"145",11211,382
"146",11212,100
"147",11213,85
"148",11214,185
"149",11215,357
"150",11216,161
"151",11217,261
"152",11218,140
"153",11219,106
"154",11220,324
"155",11221,120
"156",11222,206
"157",11223,186
"158",11224,77
"159",11225,111
"160",11226,175
"161",11228,57
"162",11229,134
"163",11230,109
"164",11231,166
"165",11232,105
"166",11233,75
"167",11234,137
"168",11235,172
"169",11236,97
"170",11237,209
"171",11238,252
"172",11239,16
"173",11242,1
"174",11249,168
"175",11256,1
"176",11352,1
"177",11354,384
"178",11355,193
"179",11356,50
"180",11357,68
"181",11358,141
"182",11360,26
"183",11361,121
"184",11362,50
"185",11363,13
"186",11364,49
"187",11365,45
"188",11366,62
"189",11367,55
"190",11368,294
"191",11369,78
"192",11370,28
"193",11371,36
"194",11372,314
"195",11373,222
"196",11374,90
"197",11375,180
"198",11377,203
"199",11378,78
"200",11379,50
"201",11385,264
"202",11411,25
"203",11412,44
"204",11413,40
"205",11414,50
"206",11415,40
"207",11416,41
"208",11417,66
"209",11418,90
"210",11419,94
"211",11420,91
"212",11421,77
"213",11422,36
"214",11423,31
"215",11426,32
"216",11427,20
"217",11428,36
"218",11429,25
"219",11430,138
"220",11432,176
"221",11433,31
"222",11434,89
"223",11435,104
"224",11436,24
"225",11451,1
"226",11691,51
"227",11692,10
"228",11693,33
"229",11694,40
"230",11697,3
