the_geom,NAME,TEL,URL,ADDRESS1,ADDRESS2,CITY,ZIP
POINT (-73.99184539780428 40.725323992599215),Amato Opera Company,(212) 228-8200,http://www.amato.org/,319 Bowery,,New York,10003
POINT (-73.98224374816537 40.76690660946508),American Composers Orchestra,(212) 977-8495,http://www.americancomposers.org/,1775 Broadway,Suite 525,New York,10019
POINT (-73.98145510042576 40.7640504744572),American Symphony Orchestra,(212) 581-1365,http://www.americanorchestras.org/,850 Seventh Avenue,Suite 503,New York,10018
POINT (-73.99527705332432 40.703133879313896),Bargemusic,(718) 624-2083,http://www.bargemusic.org/,Fulton Ferry Landing,,Brooklyn,11201
POINT (-73.99166690325696 40.69425851506696),Brooklyn Philharmonic,(718) 622-5555,http://www.brooklynphilharmonic.org/,189 Montague Street,BAM Opera House,Brooklyn,11201
POINT (-73.98258591780092 40.77348313087519),Chamber Music Society of Lincoln Center - Alice Tully Hall,(212) 875-5775,http://www.chambermusicsociety.org/?gclid=CMuUrK6Z950CFchn5QodfnSIpw,60 Lincoln Center Plaza,Alice Tully Hall,New York,10023
POINT (-73.95951466282561 40.772496150991905),Dicapo Opera Theatre,(212) 288-9438,http://www.dicapo.com/,184 East 76th Street,,New York,10021
POINT (-73.98268973674126 40.768840694734465),Jazz at Lincoln Center,(212) 258-9800,http://www.jalc.org/,Time Warner Center,,New York,10023
POINT (-73.98315213205032 40.772621129031634),Lincoln Center - Avery Fisher Hall,(866) 809-4709,http://new.lincolncenter.org/live/,10 Lincoln Center Plaza,,New York,10023
POINT (-73.98266455541503 40.76861522732396),Frederick P. Rose Hall: Rose Theater - Lincoln Center,(212) 258-9800,http://www.lincolncenter.org/load_screen.asp?screen=visitorinfo_accessibility_frh,Time Warner Center,,New York,10023
POINT (-73.98479206096924 40.77288058667397),Metropolitan Opera House - Lincoln Center,(866) 809-4709,http://www.metoperafamily.org/metopera/,30 Lincoln Center Plaza,,New York,10023
POINT (-73.98363921654727 40.77195827918657),New York State Theater - David H. Koch Theater - Lincoln Center,(212) 875-5000,http://www.lincolncenter.org/load_screen.asp?screen=visitorinfo_hallinfo_nyst,20 Lincoln Center Plz,,New York,10023
POINT (-73.98387224955984 40.77163207250495),New York City Opera,(212) 870-5630,http://www.nycopera.com/,20 Lincoln Center Plz,,New York,10023
POINT (-73.97937987890207 40.76394470486483),New York City Center,(212) 769-1000,http://www.nycitycenter.org/,130 West 56th Street,,New York,10019
POINT (-73.97101219218254 40.772674967676686),New York Grand Opera,(212) 245-8837,http://www.newyorkgrandopera.org/,"Central Park, Naumberg Bandshall",,New York,0
POINT (-73.98292039104743 40.77296405046475),New York Philharmonic,(212) 874-9021,http://nyphil.org/,10 Lincoln Center Plaza,Avery Fisher Hall at Lincoln Center,New York,10023
POINT (-73.91843737123887 40.872635443273644),Opera Company of Brooklyn,(212) 567-3283,http://www.operabrooklyn.com/,33 Indian Road,,New York,10034
POINT (-74.00315244780298 40.62665966207402),Regina Opera Company,(718) 232-3555,http://www.reginaopera.org/,1230 65th Street,,Brooklyn,11219
POINT (-73.97991704953914 40.76500730020768),Carnegie Hall,(212) 903-9600,http://www.carnegiehall.org,Carnegie Hall,,New York,10019
POINT (-73.98299395626857 40.77525371608086),Merkin Concert Hall at The Kaufman Center,(212) 501-3303,http://kaufman-center.org/merkin-concert-hall,129 West 67th Street,,New York,10023
